#SampleID	ID	Pop	Avg.N	N	X	Abundance	Taxa
19	286	BL	0.11	0.02880705	5	0.075527266	Bacteroidetes
1	LOG	LOG	0.33	0.259007618	16	0.112293369	Bacteroidetes
5	571	LOG	0.33	0.252305835	17	0.166444993	Bacteroidetes
9	585	LOG	0.33	0.133961216	18	0.1866806	Bacteroidetes
11	562	LOG	0.33	0.45576629	19	0.105263158	Bacteroidetes
15	564	LOG	0.33	0.120441362	20	0.100608018	Bacteroidetes
3	JSJ	SJ	0.26	0.215036006	11	0.115618469	Bacteroidetes
6	100	SJ	0.26	0.065704249	12	0.134714041	Bacteroidetes
7	87	SJ	0.26	0.121848099	13	0.122933688	Bacteroidetes
10	96	SJ	0.26	0.285717934	14	0.113623409	Bacteroidetes
14	73	SJ	0.26	0.511826038	15	0.161694851	Bacteroidetes
2	SNR	SNR	0.24	0.290378522	6	0.108208246	Bacteroidetes
12	393	SNR	0.24	0.319068134	7	0.126543796	Bacteroidetes
13	415	SNR	0.24	0.083758235	8	0.235417063	Bacteroidetes
18	380	SNR	0.24	0.297878981	9	0.178130344	Bacteroidetes
20	407	SNR	0.24	0.519211411	10	0.094147824	Bacteroidetes
4	BL	BL	0.11	0.066100137	1	0.008075242	Chloroflexi
8	246	BL	0.11	0.058054887	2	0.011970359	Chloroflexi
16	261	BL	0.11	0.06921228	3	0.010830325	Chloroflexi
17	267	BL	0.11	0.084045984	4	0.010260308	Chloroflexi
19	286	BL	0.11	0.02880705	5	0.006745202	Chloroflexi
1	LOG	LOG	0.33	0.259007618	16	0.003515105	Chloroflexi
5	571	LOG	0.33	0.252305835	17	0.001805054	Chloroflexi
9	585	LOG	0.33	0.133961216	18	0.0033251	Chloroflexi
11	562	LOG	0.33	0.45576629	19	0.002470074	Chloroflexi
15	564	LOG	0.33	0.120441362	20	0.001140034	Chloroflexi
3	JSJ	SJ	0.26	0.215036006	11	0.00532016	Chloroflexi
6	100	SJ	0.26	0.065704249	12	0.010165305	Chloroflexi
7	87	SJ	0.26	0.121848099	13	0.007125214	Chloroflexi
10	96	SJ	0.26	0.285717934	14	0.00399012	Chloroflexi
14	73	SJ	0.26	0.511826038	15	0.001425043	Chloroflexi
2	SNR	SNR	0.24	0.290378522	6	0.003230097	Chloroflexi
12	393	SNR	0.24	0.319068134	7	0.001425043	Chloroflexi
13	415	SNR	0.24	0.083758235	8	0.003230097	Chloroflexi
18	380	SNR	0.24	0.297878981	9	0.006460194	Chloroflexi
20	407	SNR	0.24	0.519211411	10	0.000570017	Chloroflexi
4	BL	BL	0.11	0.066100137	1	0.073247197	Firmicutes
8	246	BL	0.11	0.058054887	2	0.073152195	Firmicutes
16	261	BL	0.11	0.06921228	3	0.073817215	Firmicutes
17	267	BL	0.11	0.084045984	4	0.075242257	Firmicutes
19	286	BL	0.11	0.02880705	5	0.072772183	Firmicutes
1	LOG	LOG	0.33	0.259007618	16	0.064601938	Firmicutes
5	571	LOG	0.33	0.252305835	17	0.053106593	Firmicutes
9	585	LOG	0.33	0.133961216	18	0.121793654	Firmicutes
11	562	LOG	0.33	0.45576629	19	0.065361961	Firmicutes
15	564	LOG	0.33	0.120441362	20	0.082177465	Firmicutes
3	JSJ	SJ	0.26	0.215036006	11	0.073722212	Firmicutes
6	100	SJ	0.26	0.065704249	12	0.076287289	Firmicutes
7	87	SJ	0.26	0.121848099	13	0.073532206	Firmicutes
10	96	SJ	0.26	0.285717934	14	0.079612388	Firmicutes
14	73	SJ	0.26	0.511826038	15	0.069637089	Firmicutes
2	SNR	SNR	0.24	0.290378522	6	0.070017101	Firmicutes
12	393	SNR	0.24	0.319068134	7	0.071917158	Firmicutes
13	415	SNR	0.24	0.083758235	8	0.065741972	Firmicutes
18	380	SNR	0.24	0.297878981	9	0.062226867	Firmicutes
20	407	SNR	0.24	0.519211411	10	0.069257078	Firmicutes
4	BL	BL	0.11	0.066100137	1	0.054056622	Planctomycetes
8	246	BL	0.11	0.058054887	2	0.054151625	Planctomycetes
16	261	BL	0.11	0.06921228	3	0.060136804	Planctomycetes
17	267	BL	0.11	0.084045984	4	0.052726582	Planctomycetes
19	286	BL	0.11	0.02880705	5	0.039806194	Planctomycetes
1	LOG	LOG	0.33	0.259007618	16	0.042941288	Planctomycetes
5	571	LOG	0.33	0.252305835	17	0.047501425	Planctomycetes
9	585	LOG	0.33	0.133961216	18	0.033916017	Planctomycetes
11	562	LOG	0.33	0.45576629	19	0.044936348	Planctomycetes
15	564	LOG	0.33	0.120441362	20	0.028785864	Planctomycetes
3	JSJ	SJ	0.26	0.215036006	11	0.044461334	Planctomycetes
6	100	SJ	0.26	0.065704249	12	0.050351511	Planctomycetes
7	87	SJ	0.26	0.121848099	13	0.03733612	Planctomycetes
10	96	SJ	0.26	0.285717934	14	0.045126354	Planctomycetes
14	73	SJ	0.26	0.511826038	15	0.048071442	Planctomycetes
2	SNR	SNR	0.24	0.290378522	6	0.059851796	Planctomycetes
12	393	SNR	0.24	0.319068134	7	0.05833175	Planctomycetes
13	415	SNR	0.24	0.083758235	8	0.038476154	Planctomycetes
18	380	SNR	0.24	0.297878981	9	0.042181265	Planctomycetes
20	407	SNR	0.24	0.519211411	10	0.076097283	Planctomycetes
4	BL	BL	0.11	0.066100137	1	0.169770093	Alphaproteobacteria
8	246	BL	0.11	0.058054887	2	0.16768003	Alphaproteobacteria
16	261	BL	0.11	0.06921228	3	0.159509785	Alphaproteobacteria
17	267	BL	0.11	0.084045984	4	0.165969979	Alphaproteobacteria
19	286	BL	0.11	0.02880705	5	0.179270378	Alphaproteobacteria
1	LOG	LOG	0.33	0.259007618	16	0.130913927	Alphaproteobacteria
5	571	LOG	0.33	0.252305835	17	0.12198366	Alphaproteobacteria
9	585	LOG	0.33	0.133961216	18	0.099562987	Alphaproteobacteria
11	562	LOG	0.33	0.45576629	19	0.125213756	Alphaproteobacteria
15	564	LOG	0.33	0.120441362	20	0.156469694	Alphaproteobacteria
3	JSJ	SJ	0.26	0.215036006	11	0.126163785	Alphaproteobacteria
6	100	SJ	0.26	0.065704249	12	0.140889227	Alphaproteobacteria
7	87	SJ	0.26	0.121848099	13	0.146969409	Alphaproteobacteria
10	96	SJ	0.26	0.285717934	14	0.139749192	Alphaproteobacteria
14	73	SJ	0.26	0.511826038	15	0.117043511	Alphaproteobacteria
2	SNR	SNR	0.24	0.290378522	6	0.156754703	Alphaproteobacteria
12	393	SNR	0.24	0.319068134	7	0.126448793	Alphaproteobacteria
13	415	SNR	0.24	0.083758235	8	0.130058902	Alphaproteobacteria
18	380	SNR	0.24	0.297878981	9	0.159224777	Alphaproteobacteria
20	407	SNR	0.24	0.519211411	10	0.139369181	Alphaproteobacteria
4	BL	BL	0.11	0.066100137	1	0.065551967	Betaproteobacteria
8	246	BL	0.11	0.058054887	2	0.078187346	Betaproteobacteria
16	261	BL	0.11	0.06921228	3	0.068212046	Betaproteobacteria
17	267	BL	0.11	0.084045984	4	0.077617329	Betaproteobacteria
19	286	BL	0.11	0.02880705	5	0.069827095	Betaproteobacteria
1	LOG	LOG	0.33	0.259007618	16	0.057951739	Betaproteobacteria
5	571	LOG	0.33	0.252305835	17	0.073532206	Betaproteobacteria
9	585	LOG	0.33	0.133961216	18	0.036291089	Betaproteobacteria
11	562	LOG	0.33	0.45576629	19	0.053296599	Betaproteobacteria
15	564	LOG	0.33	0.120441362	20	0.057381721	Betaproteobacteria
3	JSJ	SJ	0.26	0.215036006	11	0.064981949	Betaproteobacteria
6	100	SJ	0.26	0.065704249	12	0.07467224	Betaproteobacteria
7	87	SJ	0.26	0.121848099	13	0.069067072	Betaproteobacteria
10	96	SJ	0.26	0.285717934	14	0.05833175	Betaproteobacteria
14	73	SJ	0.26	0.511826038	15	0.098802964	Betaproteobacteria
2	SNR	SNR	0.24	0.290378522	6	0.054911647	Betaproteobacteria
12	393	SNR	0.24	0.319068134	7	0.046266388	Betaproteobacteria
13	415	SNR	0.24	0.083758235	8	0.07533726	Betaproteobacteria
18	380	SNR	0.24	0.297878981	9	0.081607448	Betaproteobacteria
20	407	SNR	0.24	0.519211411	10	0.039046171	Betaproteobacteria
4	BL	BL	0.11	0.066100137	1	0.033821015	Deltaproteobacteria
8	246	BL	0.11	0.058054887	2	0.032110963	Deltaproteobacteria
16	261	BL	0.11	0.06921228	3	0.031730952	Deltaproteobacteria
17	267	BL	0.11	0.084045984	4	0.038951169	Deltaproteobacteria
19	286	BL	0.11	0.02880705	5	0.019285579	Deltaproteobacteria
1	LOG	LOG	0.33	0.259007618	16	0.036481094	Deltaproteobacteria
5	571	LOG	0.33	0.252305835	17	0.03933118	Deltaproteobacteria
9	585	LOG	0.33	0.133961216	18	0.021185636	Deltaproteobacteria
11	562	LOG	0.33	0.45576629	19	0.042941288	Deltaproteobacteria
15	564	LOG	0.33	0.120441362	20	0.042846285	Deltaproteobacteria
3	JSJ	SJ	0.26	0.215036006	11	0.04132624	Deltaproteobacteria
6	100	SJ	0.26	0.065704249	12	0.060516816	Deltaproteobacteria
7	87	SJ	0.26	0.121848099	13	0.042941288	Deltaproteobacteria
10	96	SJ	0.26	0.285717934	14	0.065456964	Deltaproteobacteria
14	73	SJ	0.26	0.511826038	15	0.053391602	Deltaproteobacteria
2	SNR	SNR	0.24	0.290378522	6	0.039426183	Deltaproteobacteria
12	393	SNR	0.24	0.319068134	7	0.031065932	Deltaproteobacteria
13	415	SNR	0.24	0.083758235	8	0.036386092	Deltaproteobacteria
18	380	SNR	0.24	0.297878981	9	0.041516245	Deltaproteobacteria
20	407	SNR	0.24	0.519211411	10	0.054151625	Deltaproteobacteria
4	BL	BL	0.11	0.066100137	1	0.054246627	Gammaproteobacteria
8	246	BL	0.11	0.058054887	2	0.048546456	Gammaproteobacteria
16	261	BL	0.11	0.06921228	3	0.042181265	Gammaproteobacteria
17	267	BL	0.11	0.084045984	4	0.063841915	Gammaproteobacteria
19	286	BL	0.11	0.02880705	5	0.063936918	Gammaproteobacteria
1	LOG	LOG	0.33	0.259007618	16	0.059281778	Gammaproteobacteria
5	571	LOG	0.33	0.252305835	17	0.072392172	Gammaproteobacteria
9	585	LOG	0.33	0.133961216	18	0.041041231	Gammaproteobacteria
11	562	LOG	0.33	0.45576629	19	0.045886377	Gammaproteobacteria
15	564	LOG	0.33	0.120441362	20	0.139844195	Gammaproteobacteria
3	JSJ	SJ	0.26	0.215036006	11	0.055766673	Gammaproteobacteria
6	100	SJ	0.26	0.065704249	12	0.065456964	Gammaproteobacteria
7	87	SJ	0.26	0.121848099	13	0.055291659	Gammaproteobacteria
10	96	SJ	0.26	0.285717934	14	0.057286719	Gammaproteobacteria
14	73	SJ	0.26	0.511826038	15	0.066121984	Gammaproteobacteria
2	SNR	SNR	0.24	0.290378522	6	0.056146684	Gammaproteobacteria
12	393	SNR	0.24	0.319068134	7	0.053771613	Gammaproteobacteria
13	415	SNR	0.24	0.083758235	8	0.059091773	Gammaproteobacteria
18	380	SNR	0.24	0.297878981	9	0.048356451	Gammaproteobacteria
20	407	SNR	0.24	0.519211411	10	0.059186776	Gammaproteobacteria
4	BL	BL	0.11	0.066100137	1	0.011305339	Synergistetes
8	246	BL	0.11	0.058054887	2	0.010640319	Synergistetes
16	261	BL	0.11	0.06921228	3	0.010260308	Synergistetes
17	267	BL	0.11	0.084045984	4	0.008930268	Synergistetes
19	286	BL	0.11	0.02880705	5	0.002470074	Synergistetes
1	LOG	LOG	0.33	0.259007618	16	0.010355311	Synergistetes
5	571	LOG	0.33	0.252305835	17	0.007410222	Synergistetes
9	585	LOG	0.33	0.133961216	18	0.002565077	Synergistetes
11	562	LOG	0.33	0.45576629	19	0.010070302	Synergistetes
15	564	LOG	0.33	0.120441362	20	0.0033251	Synergistetes
3	JSJ	SJ	0.26	0.215036006	11	0.010450314	Synergistetes
6	100	SJ	0.26	0.065704249	12	0.012445373	Synergistetes
7	87	SJ	0.26	0.121848099	13	0.012255368	Synergistetes
10	96	SJ	0.26	0.285717934	14	0.013585408	Synergistetes
14	73	SJ	0.26	0.511826038	15	0.005510165	Synergistetes
2	SNR	SNR	0.24	0.290378522	6	0.014440433	Synergistetes
12	393	SNR	0.24	0.319068134	7	0.009215276	Synergistetes
13	415	SNR	0.24	0.083758235	8	0.006460194	Synergistetes
18	380	SNR	0.24	0.297878981	9	0.002565077	Synergistetes
20	407	SNR	0.24	0.519211411	10	0.020045601	Synergistetes
4	BL	BL	0.11	0.066100137	1	0.017100513	Verrucomicrobia
8	246	BL	0.11	0.058054887	2	0.018145544	Verrucomicrobia
16	261	BL	0.11	0.06921228	3	0.016815504	Verrucomicrobia
17	267	BL	0.11	0.084045984	4	0.020710621	Verrucomicrobia
19	286	BL	0.11	0.02880705	5	0.012540376	Verrucomicrobia
1	LOG	LOG	0.33	0.259007618	16	0.022230667	Verrucomicrobia
5	571	LOG	0.33	0.252305835	17	0.030590918	Verrucomicrobia
9	585	LOG	0.33	0.133961216	18	0.010735322	Verrucomicrobia
11	562	LOG	0.33	0.45576629	19	0.022420673	Verrucomicrobia
15	564	LOG	0.33	0.120441362	20	0.029830895	Verrucomicrobia
3	JSJ	SJ	0.26	0.215036006	11	0.023275698	Verrucomicrobia
6	100	SJ	0.26	0.065704249	12	0.019285579	Verrucomicrobia
7	87	SJ	0.26	0.121848099	13	0.016530496	Verrucomicrobia
10	96	SJ	0.26	0.285717934	14	0.024795744	Verrucomicrobia
14	73	SJ	0.26	0.511826038	15	0.024605738	Verrucomicrobia
2	SNR	SNR	0.24	0.290378522	6	0.018905567	Verrucomicrobia
12	393	SNR	0.24	0.319068134	7	0.026220787	Verrucomicrobia
13	415	SNR	0.24	0.083758235	8	0.032110963	Verrucomicrobia
18	380	SNR	0.24	0.297878981	9	0.027360821	Verrucomicrobia
20	407	SNR	0.24	0.519211411	10	0.010355311	Verrucomicrobia
4	BL	BL	0.11	0.066100137	1	0.091772753	Euryarchaeota
8	246	BL	0.11	0.058054887	2	0.078567357	Euryarchaeota
16	261	BL	0.11	0.06921228	3	0.104598138	Euryarchaeota
17	267	BL	0.11	0.084045984	4	0.06232187	Euryarchaeota
19	286	BL	0.11	0.02880705	5	0.034106023	Euryarchaeota
1	LOG	LOG	0.33	0.259007618	16	0.096142884	Euryarchaeota
5	571	LOG	0.33	0.252305835	17	0.05234657	Euryarchaeota
9	585	LOG	0.33	0.133961216	18	0.138419153	Euryarchaeota
11	562	LOG	0.33	0.45576629	19	0.095762873	Euryarchaeota
15	564	LOG	0.33	0.120441362	20	0.058806764	Euryarchaeota
3	JSJ	SJ	0.26	0.215036006	11	0.09899297	Euryarchaeota
6	100	SJ	0.26	0.065704249	12	0.038381151	Euryarchaeota
7	87	SJ	0.26	0.121848099	13	0.074957249	Euryarchaeota
10	96	SJ	0.26	0.285717934	14	0.038476154	Euryarchaeota
14	73	SJ	0.26	0.511826038	15	0.004085123	Euryarchaeota
2	SNR	SNR	0.24	0.290378522	6	0.049591488	Euryarchaeota
12	393	SNR	0.24	0.319068134	7	0.090917728	Euryarchaeota
13	415	SNR	0.24	0.083758235	8	0.019095573	Euryarchaeota
18	380	SNR	0.24	0.297878981	9	0.024035721	Euryarchaeota
20	407	SNR	0.24	0.519211411	10	0.000475014	Euryarchaeota
4	BL	BL	0.11	0.066100137	1	0.02565077	Z (other)
8	246	BL	0.11	0.058054887	2	0.027930838	Z (other)
16	261	BL	0.11	0.06921228	3	0.026980809	Z (other)
17	267	BL	0.11	0.084045984	4	0.026505795	Z (other)
19	286	BL	0.11	0.02880705	5	0.027930838	Z (other)
1	LOG	LOG	0.33	0.259007618	16	0.022610678	Z (other)
5	571	LOG	0.33	0.252305835	17	0.046646399	Z (other)
9	585	LOG	0.33	0.133961216	18	0.01301539	Z (other)
11	562	LOG	0.33	0.45576629	19	0.020520616	Z (other)
15	564	LOG	0.33	0.120441362	20	0.020235607	Z (other)
3	JSJ	SJ	0.26	0.215036006	11	0.027455824	Z (other)
6	100	SJ	0.26	0.065704249	12	0.030875926	Z (other)
7	87	SJ	0.26	0.121848099	13	0.024795744	Z (other)
10	96	SJ	0.26	0.285717934	14	0.027645829	Z (other)
14	73	SJ	0.26	0.511826038	15	0.034106023	Z (other)
2	SNR	SNR	0.24	0.290378522	6	0.02299069	Z (other)
12	393	SNR	0.24	0.319068134	7	0.019475584	Z (other)
13	415	SNR	0.24	0.083758235	8	0.029355881	Z (other)
18	380	SNR	0.24	0.297878981	9	0.022800684	Z (other)
20	407	SNR	0.24	0.519211411	10	0.011210336	Z (other)
